id,timestamp,frequency_hz,anomaly_type,confidence_score,severity,description,detection_mode,spectrum_data_id,metadata
2f882ab3-08a1-444a-a0e1-d3c2c087449f,2025-08-08T15:16:18.268626,143178152.32121032,amplitude,1.0,medium,"Peak at 143.178152 MHz, SNR=48.3 dB, score=1.00",lite,d023cc6a-2291-439b-b979-05b5389074ad,"{""peak_power"": 769537.1875, ""baseline_power"": 11.429171562194824, ""bin_index"": 40430, ""fft_size"": 409600, ""interp_delta_bins"": 0.4642420639861622, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
5b5468ac-cdd9-471e-8d91-a8c8505ccf95,2025-08-08T15:16:23.484482,143178144.44483376,amplitude,1.0,medium,"Peak at 143.178144 MHz, SNR=48.4 dB, score=1.00",lite,0302cfe6-1a0f-4449-8a31-7da77e57570b,"{""peak_power"": 771294.6875, ""baseline_power"": 11.204418182373047, ""bin_index"": 40429, ""fft_size"": 409600, ""interp_delta_bins"": -0.11103324772093591, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
5a3d965e-7a7f-40c0-949f-72e6cbebc701,2025-08-08T15:16:28.450788,145124662.998432,amplitude,0.8856207294837578,medium,"Peak at 145.124663 MHz, SNR=20.7 dB, score=0.89",lite,a636c117-71d1-44ad-bcd8-b087cee44827,"{""peak_power"": 1252.87158203125, ""baseline_power"": 10.633227348327637, ""bin_index"": 229733, ""fft_size"": 409600, ""interp_delta_bins"": -0.40031359816730155, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
1cac0f12-3b88-4798-b61c-7398e066701f,2025-08-08T15:16:33.639830,145124662.18289775,amplitude,0.9363470986542353,medium,"Peak at 145.124662 MHz, SNR=21.7 dB, score=0.94",lite,c6874626-9b93-4e48-80e8-ad5b137c54c1,"{""peak_power"": 1608.750732421875, ""baseline_power"": 10.809225082397461, ""bin_index"": 229732, ""fft_size"": 409600, ""interp_delta_bins"": 0.4365795471163677, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
a9d42b22-b7da-4166-8c33-32b99b581481,2025-08-08T15:16:38.887357,145124686.7446101,amplitude,0.7628418194561183,medium,"Peak at 145.124687 MHz, SNR=18.3 dB, score=0.76",lite,67772796-0705-4f1e-a560-262505e3afb3,"{""peak_power"": 731.4747314453125, ""baseline_power"": 10.92737102508545, ""bin_index"": 29737, ""fft_size"": 409600, ""interp_delta_bins"": 0.34892202284541457, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
be69aa56-15cd-433b-aadb-23ab797a2130,2025-08-08T15:16:39.171177,146789957.1597701,amplitude,1.0,medium,"Peak at 146.789957 MHz, SNR=27.2 dB, score=1.00",lite,491fa8d0-cf9d-466b-a59a-b84186840200,"{""peak_power"": 5735.84814453125, ""baseline_power"": 11.04527759552002, ""bin_index"": 362791, ""fft_size"": 409600, ""interp_delta_bins"": 0.43195402036505254, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
896f16f7-535f-48af-a24a-8e9797c00c1f,2025-08-08T15:16:43.058011,145930952.61063752,amplitude,0.766301532816233,medium,"Peak at 145.930953 MHz, SNR=18.3 dB, score=0.77",lite,46cb1353-5cb8-4205-bd71-050dfdf679b2,"{""peak_power"": 730.5538330078125, ""baseline_power"": 10.741109848022461, ""bin_index"": 190991, ""fft_size"": 409600, ""interp_delta_bins"": -0.47787249873514687, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
efc0e25d-5526-4c52-9fbf-116fdefd8133,2025-08-08T15:16:44.350401,145124686.0840149,amplitude,0.7710360739675144,medium,"Peak at 145.124686 MHz, SNR=18.4 dB, score=0.77",lite,8b489e80-a18b-417b-a018-15c64fb726b6,"{""peak_power"": 730.5194091796875, ""baseline_power"": 10.508956909179688, ""bin_index"": 29737, ""fft_size"": 409600, ""interp_delta_bins"": 0.21680297895034908, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
9f5860da-dfc7-476a-b6e1-e20434c1842c,2025-08-08T15:16:45.389754,146838615.2363369,amplitude,0.8262425767671072,medium,"Peak at 146.838615 MHz, SNR=19.5 dB, score=0.83",lite,6ea9d010-8412-4ef1-bd9b-a4d9a4239379,"{""peak_power"": 936.01904296875, ""baseline_power"": 10.442380905151367, ""bin_index"": 372523, ""fft_size"": 409600, ""interp_delta_bins"": 0.047267377216758374, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
efec5d5b-f4ed-41b3-8303-79d731a53f86,2025-08-08T15:16:46.165108,146638657.44178832,amplitude,0.8534491407239747,medium,"Peak at 146.638657 MHz, SNR=20.1 dB, score=0.85",lite,62341d2c-3fb7-43d5-8059-cfb1697de704,"{""peak_power"": 1080.783203125, ""baseline_power"": 10.637517929077148, ""bin_index"": 332531, ""fft_size"": 409600, ""interp_delta_bins"": 0.4883576621599603, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
f63d46e2-a615-49bf-a325-103105b3088d,2025-08-08T15:16:46.696400,146788371.1744563,amplitude,1.0,medium,"Peak at 146.788371 MHz, SNR=52.3 dB, score=1.00",lite,14c74b0e-91b9-46be-8e96-60a9f89b36fe,"{""peak_power"": 1846164.625, ""baseline_power"": 10.815437316894531, ""bin_index"": 362474, ""fft_size"": 409600, ""interp_delta_bins"": 0.23489126086380546, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
095d2e78-46f1-47c7-9b60-d43313509bce,2025-08-08T15:16:48.806771,143178142.40804282,amplitude,1.0,medium,"Peak at 143.178142 MHz, SNR=48.4 dB, score=1.00",lite,d1a60bae-9707-4010-9994-e9176c8efd43,"{""peak_power"": 759958.25, ""baseline_power"": 11.095444679260254, ""bin_index"": 40428, ""fft_size"": 409600, ""interp_delta_bins"": 0.481608561222742, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
dddd7ff3-eed4-4fd1-9d52-778990c114f1,2025-08-08T15:16:51.384536,144438748.79373893,amplitude,1.0,medium,"Peak at 144.438749 MHz, SNR=95.6 dB, score=1.00",lite,e85652b9-0341-4c69-9422-f38bdb7138f7,"{""peak_power"": 25586661376.0, ""baseline_power"": 7.041323661804199, ""bin_index"": 292550, ""fft_size"": 409600, ""interp_delta_bins"": -0.24125221211389627, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
4f6a1559-2be2-47f1-a096-624cfaa7e737,2025-08-08T15:16:54.455019,143178141.04290092,amplitude,1.0,medium,"Peak at 143.178141 MHz, SNR=48.6 dB, score=1.00",lite,b1fab0a0-31c2-41cb-8f06-fc1c97a5a6c4,"{""peak_power"": 800467.5625, ""baseline_power"": 11.125486373901367, ""bin_index"": 40428, ""fft_size"": 409600, ""interp_delta_bins"": 0.2085801837468476, ""freq_bin_hz"": 5.0, ""dc_exclude_hz"": 12000.0, ""edge_exclude_hz"": 80000.0, ""novelty_enabled"": true, ""novelty_freq_tol_hz"": 12000.0, ""novelty_cooldown_s"": 5.0, ""novelty_score_delta"": 0.2, ""method"": ""periodogram:hann+interp+dc_notch+edge_notch+guards+novelty""}"
