Frequency,Mean_Amplitude,Std_Amplitude,Mean_FFT_Magnitude,Std_FFT_Magnitude,Skew_Amplitude,Kurt_Amplitude,Skew_Phase,Kurt_Phase,Cyclo_Autocorr,Spectral_Entropy,PAPR,Band_Energy_Ratio
144000000.0,0.25296742344896,0.1127495610465606,19.702207942247565,140.91154943749612,3.87869437465621,56.54287029497619,0.03625614721002382,1.9914557294598605,22556.429412841797,16.037226248332914,57.22513760166499,0.49179552935105725
144100000.0,0.043735710283120476,0.017208621526757877,10.905490362923707,21.450642630659832,0.189853756311257,2.81898528468852,0.0019705655138244644,1.8017230755160512,292.51100667317706,17.705237067141425,6.882977724983582,0.4936640956853358
144200000.0,0.7021191517512003,0.09300132033725579,43.91984919502995,359.68626693480275,-0.430444009953798,7.320263472336781,0.0018603269593628017,1.800319773710999,108828.28865559895,15.26067896554625,3.565044664941349,0.6183089324909306
144300000.0,0.7520128227770329,0.08195808033148448,26.71611491290048,394.0004080828293,3.842114643168546,45.97463518742244,-0.0014383487808647371,1.7996142350672024,124440.29614257812,14.53887879257085,49.889837385573124,0.7207594542840751
144400000.0,0.03980063150326411,0.01610753933588664,10.746484175463857,19.17813418894196,0.22110217719976466,2.8201323651080874,0.00039179735457231247,1.7994129026489194,242.2275594075521,17.704358718437362,7.871229028858164,0.48739237356711657
144500000.0,0.0447423942387104,0.020457273970047634,10.905803042667474,22.705719927069392,0.2063987403218376,2.525566740722014,-0.0012520447271853858,1.8003779527538832,306.1515808105469,17.657335852969613,7.3830122960033,0.48250698448001245
144600000.0,0.07652438183625539,0.029068779200315475,11.159540180768118,40.399420096638146,-0.09522887104704858,2.2869134873303247,0.006837323170101435,1.7988247844974723,896.3185221354166,17.498406390241612,4.875938941950803,0.5205714310592221
144700000.0,0.09968122839927673,0.029133362074693043,11.40109498562304,51.93593247320672,-0.0946436686619241,2.32813638036191,-0.0038724648586619657,1.80114170666002,1520.2543131510417,17.354259485339266,3.6712958007543874,0.5372122257105963
144800000.0,0.11548415074745814,0.02712942659854889,11.259395651739533,59.683890763395,-0.06361500281099645,2.4237494534224617,0.0009769055633667846,1.8009744606464821,2039.5867106119792,17.411499646426673,3.3183991695964754,0.5311776661767801
144900000.0,1.11782439549764,0.10354961454868317,37.57173303122834,573.5510183249472,-1.2135209603534174,13.081082048781575,-0.0018153239681118318,1.8016985850658311,191201.97916666666,13.990045744972619,1.30577426745636,0.4697349211539071
145000000.0,0.7919644812742869,0.10786425818999608,33.1918095989723,410.8701104097293,2.870093838672261,53.25739686905134,-0.009249802377933809,1.8212832971847674,130499.30590820312,15.104310382795745,26.33109802398826,0.6528099611394537
145100000.0,0.7610189002007246,0.0967818225423495,32.57388037070984,400.99633301230364,4.087248962476771,48.95690838836487,-0.07525617544590354,1.6931089394585677,129519.21341196696,14.777923582765164,59.55141157042422,0.3012009127412456
145200000.0,0.020831895371278126,0.01086821717520555,10.204010128823077,6.372118221562247,0.6539776282954984,3.2351519112791096,-0.10296046114334308,1.9469288869466135,66.35406239827473,17.77568025320942,13.653589787519792,0.5049339151024143
145300000.0,0.021008888259530067,0.0109834810718894,10.273133314131412,6.46454824848596,0.6626904846532241,3.26667064517196,0.028998602344851788,1.7798344419960623,67.49401346842448,17.77246999599218,15.316993726920236,0.5057863772082345
145400000.0,0.02196546457707882,0.011452524922788143,10.294245648311014,7.393948560359206,0.6469732693846105,3.2224986050679036,0.12045533043684697,2.0747703585156767,73.841552734375,17.754301904596513,12.397508340823762,0.5067155476923049
145500000.0,0.021153041472037632,0.011058401316404343,10.257323287761972,6.643866019766037,0.6626971505981797,3.2679987454632027,-0.6042566549670711,2.5011974703013884,68.42660522460938,17.766252011011144,13.872274295799755,0.5109494666713048
