Frequency,Mean_Amplitude,Std_Amplitude
144000000.0,0.041216298937797546,0.013734627515077591
144100000.0,0.034058552235364914,0.01122304517775774
144200000.0,0.032517995685338974,0.010992311872541904
144300000.0,0.03389742970466614,0.011071267537772655
144400000.0,0.03118777833878994,0.010872386395931244
144500000.0,0.020609423518180847,0.009648283012211323
144600000.0,0.015060730278491974,0.0077844783663749695
144700000.0,0.014999334700405598,0.007730003912001848
144800000.0,0.014711104333400726,0.0075875818729400635
144900000.0,0.014483367092907429,0.007465702015906572
145000000.0,0.014462709426879883,0.007447951938956976
145100000.0,0.014401860535144806,0.0074243745766580105
145200000.0,0.014344385825097561,0.00739895598962903
145300000.0,0.014404374174773693,0.007425565738230944
145400000.0,0.014283630065619946,0.007370762061327696
145500000.0,0.013911500573158264,0.007170148193836212
145600000.0,0.013801492750644684,0.0071111395955085754
145700000.0,0.014731124974787235,0.007579063531011343
145800000.0,0.01583409495651722,0.00807288195937872
145900000.0,0.015855632722377777,0.008087250404059887
146000000.0,0.015819871798157692,0.008099045604467392
420000000.0,0.012431792914867401,0.006338067352771759
420100000.0,0.012539352290332317,0.006395912263542414
420200000.0,0.012400597333908081,0.006327575072646141
420300000.0,0.012394912540912628,0.006332577671855688
420400000.0,0.012365348637104034,0.0063004270195961
420500000.0,0.012125305831432343,0.006182702723890543
420600000.0,0.01204198133200407,0.006132174748927355
420700000.0,0.012124967761337757,0.006186192389577627
420800000.0,0.012135598808526993,0.006187792401760817
420900000.0,0.011981546878814697,0.006109666544944048
421000000.0,0.011725179851055145,0.005971431732177734
421100000.0,0.011634600348770618,0.005915646906942129
421200000.0,0.011648778803646564,0.005919618532061577
421300000.0,0.011966806836426258,0.006104172673076391
421400000.0,0.01164135243743658,0.005923232063651085
421500000.0,0.011606906540691853,0.005908404942601919
421600000.0,0.011622573249042034,0.005914187524467707
421700000.0,0.01162101048976183,0.005913823843002319
421800000.0,0.011869095265865326,0.006063764449208975
421900000.0,0.011938761919736862,0.006121037527918816
422000000.0,0.011799824424088001,0.006002838257700205
422100000.0,0.011933513917028904,0.006084840279072523
422200000.0,0.01201870758086443,0.00613825349137187
422300000.0,0.011860954575240612,0.006040601525455713
422400000.0,0.011839746497571468,0.006034342106431723
422500000.0,0.011861014179885387,0.006049161311239004
422600000.0,0.011901646852493286,0.006074363831430674
422700000.0,0.012068316340446472,0.006147476378828287
422800000.0,0.012061324901878834,0.006145264487713575
422900000.0,0.012142780236899853,0.00620889849960804
423000000.0,0.012102070264518261,0.006190884858369827
423100000.0,0.012363922782242298,0.006313422229140997
423200000.0,0.012235368601977825,0.006235657259821892
423300000.0,0.012144133448600769,0.006191459018737078
423400000.0,0.01208986435085535,0.006172059569507837
423500000.0,0.012130875140428543,0.006186436861753464
423600000.0,0.01245465874671936,0.0063593327067792416
423700000.0,0.01265458669513464,0.0064734891057014465
423800000.0,0.012864888645708561,0.006576807703822851
423900000.0,0.013035778887569904,0.006671069655567408
424000000.0,0.012881356291472912,0.006599191576242447
424100000.0,0.012692202813923359,0.006492114160209894
424200000.0,0.01266853790730238,0.00647364417091012
424300000.0,0.012694275937974453,0.006499558687210083
424400000.0,0.012562356889247894,0.00642100116237998
424500000.0,0.01219391543418169,0.006231700535863638
424600000.0,0.01207540649920702,0.006162509322166443
424700000.0,0.012148155830800533,0.0062058232724666595
424800000.0,0.012482880614697933,0.006379835773259401
424900000.0,0.013009234331548214,0.006661599967628717
425000000.0,0.013754858635365963,0.007058768067508936
425100000.0,0.014365337789058685,0.007379836868494749
425200000.0,0.014407130889594555,0.00741349533200264
425300000.0,0.01423290092498064,0.00732360640540719
425400000.0,0.014164173044264317,0.007291906047612429
425500000.0,0.014025632292032242,0.007211640011519194
425600000.0,0.013814411126077175,0.007100866641849279
425700000.0,0.013636362738907337,0.007000782061368227
425800000.0,0.013288929127156734,0.006813539192080498
425900000.0,0.012583223171532154,0.006453409790992737
426000000.0,0.012087713927030563,0.006162339821457863
426100000.0,0.012039137072861195,0.006127022206783295
426200000.0,0.012189279310405254,0.006214182823896408
426300000.0,0.012455672025680542,0.006348317954689264
426400000.0,0.012782101519405842,0.006518693175166845
426500000.0,0.0127593157812953,0.006510356441140175
426600000.0,0.0126188350841403,0.006451153662055731
426700000.0,0.01245796401053667,0.006369860842823982
426800000.0,0.012393730692565441,0.006328071933239698
426900000.0,0.012308970093727112,0.00628982437774539
427000000.0,0.012241882272064686,0.006246398668736219
427100000.0,0.012088924646377563,0.00616811728104949
427200000.0,0.01182641927152872,0.006030803080648184
427300000.0,0.011610877700150013,0.005905029829591513
427400000.0,0.011486425064504147,0.005833631847053766
427500000.0,0.01145137194544077,0.005807718727737665
427600000.0,0.011419475078582764,0.005787149537354708
427700000.0,0.01144192274659872,0.00581512413918972
427800000.0,0.011452297680079937,0.005821235477924347
427900000.0,0.011443950235843658,0.005816908087581396
428000000.0,0.01144875306636095,0.005813086871057749
428100000.0,0.011454441584646702,0.00581930810585618
428200000.0,0.01147916167974472,0.005832455586642027
428300000.0,0.011517184786498547,0.005844384431838989
428400000.0,0.011491551995277405,0.005830761045217514
428500000.0,0.011507447808980942,0.005839929450303316
428600000.0,0.01152134407311678,0.005858996883034706
428700000.0,0.011560831218957901,0.005874456372112036
428800000.0,0.011551965028047562,0.005865480750799179
428900000.0,0.011531256139278412,0.005863416474312544
429000000.0,0.011591263115406036,0.005890070926398039
429100000.0,0.011756147257983685,0.005979800131171942
429200000.0,0.01189194992184639,0.006048044189810753
429300000.0,0.011833342723548412,0.006021464709192514
429400000.0,0.01182983536273241,0.006020460277795792
